#NAME?,,,,,,,,,,,,,,
State,income per cap,employment rate,Unemployment rate,Number of rooms per person,Share of labour force with at least secondary education,Life expectancy at birth,Standardised mortality rate,"Air pollution, level of PM2.5",Homicide rate,Voter turnout in general election,Share of households with internet broadband access,Perceived social network support,Self-evaluation of life satisfaction,Perception of corrution
  JPE: Hokuriku,19213,86.2,3.2,2.4,87.1,83.3,6,13,0.6,50.5,69,88.1,6,69.1
  JPF: Toukai,20668,84.2,2.8,2,87,83,6,13.1,0.6,54.6,74,90.6,6.1,71
  JPG: Kansai region,19518,78.4,4.1,2.3,90,82.8,6,12,1.2,51.3,81,91.4,6,71
  JPH: Chugoku,18761,83.1,3.2,2.3,89.9,83.2,6,11.7,0.7,52,66,89.3,5.8,67.2
  JPI: Shikoku,17383,82.5,3.7,2.1,87.1,82.9,6.2,12.8,0.9,49.7,59,88.8,5.8,79.9
"  JPJ: Kyushu, Okinawa",17395,79.9,4.3,2,88.1,83,6,14.7,0.8,50.9,60,90.4,5.9,69.1
KOR: Korea,15779,70.8,3.3,1.3,82.6,81.5,6.6,23.7,1.5,75.9,98.5,78.3,5.9,74.2
  KR01: Capital Region (KR),17093,68.3,4,1.3,87.1,82.4,6.4,27,1.3,75.1,99.2,79.4,6,76.5
  KR02: Gyeongnam Region,16499,67.3,3.1,1.4,81.8,80.9,7.1,15.4,1.8,77,98.3,78.1,6,73.9
  KR03: Gyeonbuk Region,15335,72.5,3.4,1.5,76.9,80.9,6.8,22,1.4,78.2,97.8,72.6,5.7,74.7
  KR04: Jeolla Region,14830,72.9,2.7,1.5,74.7,81.2,6.8,24.1,1.3,76.8,97.6,76,5.9,75.8
  KR05: Chungcheong Region,15509,72.1,3.3,1.4,78.5,81.7,6.6,24.2,1.7,74,97.4,78.5,6.1,71
  KR06: Gangwon Region,14159,68.1,3.1,1.4,72.7,80.4,6.9,21.7,1.5,76.8,97.2,75.2,5.7,67.6
  KR07: Jeju,15848,78.6,2,1.4,80.4,82.9,6.3,14.8,5.3,73.3,98.2,76.9,5.8,74.7
LUX: Luxembourg,28908,63.8,5.9,2,82.5,81.9,7.2,11.1,0.8,91.2,93,87.4,7,26.5
  LU00: Luxembourg,28908,63.8,5.9,2,82.5,81.9,7.2,11.1,0.8,91.1,93,87.4,6.9,26.3
MEX: Mexico,3437,63,4.9,1,40,74.8,9.8,11.9,19.5,63.1,33.7,81.1,7,68.3
  ME01: Aguascalientes,3865,61.5,5.8,1,42.4,75.7,10,9.9,3.9,60.7,37.9,66,7,49.9
  ME02: Baja California Norte,4623,63.5,5.7,1.1,42.5,73.8,10.1,5.2,22.8,53.8,51.5,79.8,6.8,73.4
  ME03: Baja California Sur,4456,68.5,4.9,1,46.3,75.9,9.9,5.2,6.8,58.8,43.8,89,7.8,64
  ME04: Campeche,3764,65.3,3.2,0.8,40.2,75.1,9,3.8,8.1,67.3,27.1,79,8.6,50.7
  ME05: Coahuila,4205,64.6,5.2,1.1,44.4,75.5,10.5,9.1,27.6,61.9,34.6,69.7,6.6,63.6
  ME06: Colima,4093,70.5,4.4,1,41.7,75.8,10.6,8.8,32.5,64.3,45.2,83.4,6.8,80.8
  ME07: Chiapas,1786,56.8,3.3,0.7,26.9,72.6,10.1,6.3,9.6,67.3,9.5,74.3,6.6,50.7
  ME08: Chihuahua,3532,62.3,3.2,1.1,38.1,72.3,11.6,5.5,58.7,53.2,42.9,90.5,7.1,72.7
  ME09: Federal District (MX),5845,65.5,6.8,1.2,57.6,76,11.7,15.1,12.4,67.2,53,86.2,7.5,79.7
  ME10: Durango,2896,59.9,6,1,37,75.3,9.3,8.3,27.5,59.8,30.3,82.5,7,57.7
  ME11: Guanajuato,2881,63.7,4.7,0.9,30.6,75.3,9.6,16.7,12.3,59.6,27.5,66.7,6.8,53.8
  ME12: Guerrero,2294,65.1,1.5,0.7,33.1,72.7,8.9,12.7,64.8,60.1,20.7,74.5,6.2,43.3
  ME13: Hidalgo,2918,63.4,4.1,0.9,33.9,74.3,8.9,14.8,6,65.7,25.6,74.5,6.3,62.4
  ME14: Jalisco,4002,64.4,5,1,39.9,75.4,10.3,13.3,19.2,64.7,41.4,76.2,7.4,62.7
  ME15: Mexico,3186,62,6.6,1,41.7,75.1,8.7,15.5,20.2,66,33.3,78.4,7.1,72.8
  ME16: Michoacan,2538,64,3.2,0.9,29.8,74.5,9.1,14.8,20.3,52.5,23.7,74,7.7,53.4
  ME17: Morelos,3015,63.1,4.1,1,40.8,75.5,9.7,24.2,33.6,65.2,38.4,91.7,6.5,55.5
  ME18: Nayarit,3503,67.2,5.7,1,40,74.8,8.7,5.5,19.2,62.6,35.9,84,7.2,69.6
  ME19: Nuevo Leon,5066,64.5,5.6,1.1,48.4,76,9.9,8.3,18.9,60.4,55.1,82.7,7.5,63.6
  ME20: Oaxaca,2070,64.9,2.6,0.8,27.9,72.8,9.1,10.6,19.2,62,14,70.1,7,58.6
  ME21: Puebla,2319,65,4.1,0.9,33.7,74.7,10.1,15.1,9.2,63.3,23.8,74.2,6.7,66.9
