"SEC","Sector","TRANS","Transaction","MEAS","Measure","COU","Country","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NA","National aggregates","POP","Population","VALUE","Value","NLD","Netherlands","2016","2016","HAB","Inhabitants","3","Thousands",,,17030,,
"NA","National aggregates","GDP","GDP","VALUE","Value","NLD","Netherlands","2016","2016","USD","US Dollar","9","Billions",,,860.69,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","NLD","Netherlands","2016","2016","GRWH","Growth rate","0","Units",,,2.21,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","NLD","Netherlands","2016","2016","USD","US Dollar","0","Units",,,50539.56,,
"NA","National aggregates","SURF","Area","VALUE","Value","NZL","New Zealand","2016","2016","KM2","Square kilometres","0","Units",,,264944,,
"NA","National aggregates","POP","Population","VALUE","Value","NZL","New Zealand","2016","2016","HAB","Inhabitants","3","Thousands",,,4720,,
"NA","National aggregates","GDP","GDP","VALUE","Value","NZL","New Zealand","2016","2016","USD","US Dollar","9","Billions",,,181,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","NZL","New Zealand","2016","2016","GRWH","Growth rate","0","Units",,,3.05,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","NZL","New Zealand","2016","2016","USD","US Dollar","0","Units",,,38346.42,,
"NA","National aggregates","SURF","Area","VALUE","Value","NOR","Norway","2016","2016","KM2","Square kilometres","0","Units",,,304226,,
"NA","National aggregates","POP","Population","VALUE","Value","NOR","Norway","2016","2016","HAB","Inhabitants","3","Thousands",,,5236,,
"NA","National aggregates","GDP","GDP","VALUE","Value","NOR","Norway","2016","2016","USD","US Dollar","9","Billions",,,307.83,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","NOR","Norway","2016","2016","GRWH","Growth rate","0","Units",,,1.09,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","NOR","Norway","2016","2016","USD","US Dollar","0","Units",,,58791.76,,
"NA","National aggregates","SURF","Area","VALUE","Value","POL","Poland","2016","2016","KM2","Square kilometres","0","Units",,,306194,,
"NA","National aggregates","POP","Population","VALUE","Value","POL","Poland","2016","2016","HAB","Inhabitants","3","Thousands",,,38427,,
"NA","National aggregates","GDP","GDP","VALUE","Value","POL","Poland","2016","2016","USD","US Dollar","9","Billions",,,1039.74,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","POL","Poland","2016","2016","GRWH","Growth rate","0","Units",,,2.86,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","POL","Poland","2016","2016","USD","US Dollar","0","Units",,,27057.65,,
"NA","National aggregates","SURF","Area","VALUE","Value","PRT","Portugal","2016","2016","KM2","Square kilometres","0","Units",,,92226,,
"NA","National aggregates","POP","Population","VALUE","Value","PRT","Portugal","2016","2016","HAB","Inhabitants","3","Thousands",,,10325.5,,
"NA","National aggregates","GDP","GDP","VALUE","Value","PRT","Portugal","2016","2016","USD","US Dollar","9","Billions",,,316.03,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","PRT","Portugal","2016","2016","GRWH","Growth rate","0","Units",,,1.54,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","PRT","Portugal","2016","2016","USD","US Dollar","0","Units",,,30606.49,,
"NA","National aggregates","SURF","Area","VALUE","Value","SVK","Slovak Republic","2016","2016","KM2","Square kilometres","0","Units",,,49036,,
"NA","National aggregates","POP","Population","VALUE","Value","SVK","Slovak Republic","2016","2016","HAB","Inhabitants","3","Thousands",,,5430.8,,
"NA","National aggregates","GDP","GDP","VALUE","Value","SVK","Slovak Republic","2016","2016","USD","US Dollar","9","Billions",,,165.42,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","SVK","Slovak Republic","2016","2016","GRWH","Growth rate","0","Units",,,3.32,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","SVK","Slovak Republic","2016","2016","USD","US Dollar","0","Units",,,30460.32,,
"NA","National aggregates","SURF","Area","VALUE","Value","SVN","Slovenia","2016","2016","KM2","Square kilometres","0","Units",,,20145,,
"NA","National aggregates","POP","Population","VALUE","Value","SVN","Slovenia","2016","2016","HAB","Inhabitants","3","Thousands",,,2064.63,,
"NA","National aggregates","GDP","GDP","VALUE","Value","SVN","Slovenia","2016","2016","USD","US Dollar","9","Billions",,,67.57,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","SVN","Slovenia","2016","2016","GRWH","Growth rate","0","Units",,,3.15,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","SVN","Slovenia","2016","2016","USD","US Dollar","0","Units",,,32729.61,,
"NA","National aggregates","SURF","Area","VALUE","Value","SWE","Sweden","2016","2016","KM2","Square kilometres","0","Units",,,407340,,
"NA","National aggregates","POP","Population","VALUE","Value","SWE","Sweden","2016","2016","HAB","Inhabitants","3","Thousands",,,9923.09,,
"NA","National aggregates","GDP","GDP","VALUE","Value","SWE","Sweden","2016","2016","USD","US Dollar","9","Billions",,,485.28,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","SWE","Sweden","2016","2016","GRWH","Growth rate","0","Units",,,3.23,,
